software,developer,sector,open,function,active,legacy,comments,
Supplejack,National Library of New Zealand,Non-profit organisation,y,database,,,considered,
Tableau,Tableau Software,For-profit company,,visualisation,,,considered,
TEI,Text Encoding Initiative,Community,y,standard,y,y,,
Tesseract,Google,For-profit company,y,optical character recognition,y,y,,
TextLab,Hofstra University,University,y,annotation,,,considered,
TileMill,MapBox,For-profit company,y,mapping,,y,,
TimelineJS,Northwestern University,University,y,visualisation,y,,,
Tox,,Community,y,testing,y,y,,
TRACER,University of Gottingen,University,,natural language processing,,,considered,
Traefik,Traefik Labs,For-profit company,y,web server,y,,,
Transkribus,University of Innsbruck,University,y,transcription,,,considered,
Travis,Travis CI,For-profit company,y,testing,y,y,,
Trello,Atlassian,For-profit company,,project management ,,y,,
TXM,ANR Textometry project,Community,y,natural language processing,,,considered,
TypeScript,Microsoft,For-profit company,y,programming language,y,,,
UCCA,Hebrew University in Jerusalem,University,,image recognition,,,considered,
Unity,Unity Technologies,For-profit company,,video game engine,y,,,
Vagrant,Hashicorp,For-profit company,y,virtualisation,y,y,,
Vega,,Community,y,visualisation,y,,,
Versioning Machine,Maynooth University,University,y,text edition,,y,,
Vim,,Community,y,editor,y,y,,
Vimeo,Vimeo company,For-profit company,,video sharing platform,y,y,,
VirtualBox,Oracle Corporation,For-profit company,y,virtualisation,y,y,,
Visual Studio Code,Microsoft,For-profit company,y,editor,y,,,
Vmware,King's College London,University,,virtualisation,y,y,,
Vue.js,Vue.js Team,Community,y,framework,y,,,
Wagtail,Torchbox,For-profit company,y,content management system,y,y,,
Whoosh,Python Software Foundation,Non-profit organisation,y,search engine,,y,,
Wikidata,Wikimedia Foundation,Non-profit organisation,y,knowledge base,y,,,
Word2Vec,Google,For-profit company,y,natural language processing,,,considered,
XML,World Wide Web Consortium,Non-profit organisation,y,standard,y,y,,
xMod,King's College London,University,y,web publishing,,y,,
XSLT,World Wide Web Consortium,Non-profit organisation,y,programming language,y,y,,
Zenodo,CERN,Non-profit organisation,,data management system,y,,,
Zoomify,Zoomify company,For-profit company,,image viewer,,y,,
Zooniverse,Fingerprint Digital Media,For-profit company,y,crowdsourcing,y,,,
Zotero,Corporation for Digital Scholarship,Non-profit organisation,y,reference management ,y,,,
Loris,,Community,y,image server,y,,,
CodePen,CodePen community,Community,,code editor,y,,,
Google Lighthouse,Google,For-profit company,y,accessibility ,y,,,
Twitter,Twitter company,For-profit company,,communication,y,,,
MapBox,MapBox company,For-profit company,y,mapping,y,,,
Sketch,Sketch B.V.,For-profit company,,graphics editor ,,y,,
Figma,"Figma, Inc",For-profit company,,graphics editor ,y,,,
R packages,RStudio,For-profit company,y,natural language processing,y,,,
Pleiades,New York University ,University,y,geospatial dataset,,,,
Pleiades,University of North Carolina Chapel Hill,University,y,geospatial dataset,,,,
TinyDB,,Community,y,database,,,considered,
Flair,Humboldt University of Berlin,University,y,transcription,,,considered,
CollateX,Huygens ING,University,y,collation,,,considered,
Juxta,Juxta Commons,Community,y,annotation,,,considered,
fastText,Facebook,For-profit company,y,text classification,,,considered,
WeasyPrint,Kozea,For-profit company,y,visual rendering,,,considered,
TextBlob,,Community,y,natural language processing,y,,considered,
Convertdate,,Community,y,date conversion,y,,considered,
Transformers,,Community,y,natural language processing,,,considered,
NetworkX,,Community,y,visualisation,y,,considered,
poetry,,Community,y,dependency management ,,,considered,
